id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2331;Roger Young;Jesus;4.7;History|Drama;25/12/1999;Jeremy Sisto;Armin Mueller-Stahl;Debra Messing;Gary Oldman;David O'Hara
2332;Gérard Krawczyk;Taxi 2;6.1;Action|Comedy|Crime;24/03/2000;Samy Naceri;Frédéric Diefenthal;Marion Cotillard;Emma Wiklund;Bernard Farcy
2333;Heinrich Breloer;Buddenbrooks;6.1;Drama;25/12/2008;Armin Mueller-Stahl;August Diehl;Jessica Schwarz;Justus von Dohnányi;Alexander Fehling
2334;Gérard Krawczyk;Taxi 3;5.4;Action|Comedy;29/01/2003;Samy Naceri;Frédéric Diefenthal;Marion Cotillard;Emma Wiklund;Bernard Farcy
2335;Gérard Krawczyk;Taxi 4;5.4;Action|Comedy;10/02/2007;Samy Naceri;Frédéric Diefenthal;Emma Wiklund;Edouard Montoute;Jean-Christophe Bouvet
2336;Heiner Stadler;King Kongs Faust;0.0;Documentary;26/04/1985;Heinz Van Nouhuys;Werner Grassmann;Wolfgang Längsfeld;Gisela Weilemann;Gad Klein
2337;Diethard Küster;Va Banque;0.0;Comedy|Crime;28/01/1986;Leonard Lansink;Grazyna Dylong;Winfried Glatzeder;Claus-Dieter Reents;none
2346;Jia Zhangke;三峡好人;7.1;Romance|Drama;5/09/2006;Sanming Han;Zhao Tao;Hongwei Wang;Zhubin Li;Haiyu Xiang
2348;Leonard Nimoy;Holy Matrimony;4.3;Comedy;8/04/1994;Patricia Arquette;Joseph Gordon-Levitt;Armin Mueller-Stahl;Tate Donovan;John Schuck
2349;Lars Büchel;Erbsen auf halb 6;5.5;Drama;4/03/2004;Fritzi Haberlandt;Tina Engel;Harald Schrott;Jenny Gröllmann;Alice Dwyer
2355;Mike Binder;Reign Over Me;7.1;Drama;23/03/2007;Adam Sandler;Don Cheadle;Jada Pinkett Smith;Liv Tyler;Saffron Burrows
2357;Brad Silberling;10 Items or Less;6.7;Comedy|Drama;11/09/2006;Paz Vega;Morgan Freeman;Bobby Cannavale;Anne Dudek;Jennifer Echols
2358;Piers Ashworth;Oh Marbella;0.0;Comedy|Crime;1/01/2003;Rik Mayall;Tom Bell;Mike Reid;Lara Belmont;Craig Kelly
2359;Michael Moore;Sicko;7.3;Documentary;18/05/2007;Michael Moore;George W. Bush;Bill Clinton;Hillary Clinton;Billy Crystal
2360;Nigel Cole;Saving Grace;6.3;Crime|Comedy;24/01/2000;Brenda Blethyn;Craig Ferguson;Martin Clunes;Tchéky Karyo;Jamie Foreman
2361;Paolo Taviani;La masseria delle allodole;6.0;History|Drama;1/01/2007;Paz Vega;Moritz Bleibtreu;Alessandro Preziosi;Ángela Molina;Arsinée Khanjian
2362;Michael Crichton;Westworld;6.7;Action|Adventure|Drama|Horror|Science Fiction|Thriller|Western;22/10/1973;Yul Brynner;Richard Benjamin;James Brolin;Norman Bartold;Alan Oppenheimer
2363;Claude Chabrol;Les Cousins;6.6;Drama;11/03/1959;Gérard Blain;Jean-Claude Brialy;Juliette Mayniel;Guy Decomble;Geneviève Cluny
2370;Alfred Hitchcock;Topaz;6.1;Action|Drama|Mystery|Thriller;18/12/1969;Frederick Stafford;Dany Robin;Claude Jade;Michel Subor;Karin Dor
2371;Aleksandr Alov;Тегеран-43;6.9;Action|Drama|Thriller;6/06/1980;Natalya Belokhvostikova;Curd Jürgens;Igor Kostolevskiy;Claude Jade;none
2373;Édouard Molinaro;Mon oncle Benjamin;4.4;Comedy|History;28/11/1969;Jacques Brel;Claude Jade;Bernard Alane;Rosy Varte;Paul Frankeur
2374;Iradj Azimi;Le Radeau de la Méduse;0.0;Drama|History;15/07/1998;Jean Yanne;Daniel Mesguich;Claude Jade;Philippe Laudenbach;Alain Macé
2375;Denys de La Patellière;Prêtres interdits;0.0;Drama|History;22/11/1973;Robert Hossein;Claude Jade;Pierre Mondy;Claude Piéplu;Germaine Delbat
2376;Christian Gion;Le pion;7.5;Comedy|Drama;25/10/1978;Henri Guybet;Claude Jade;Maureen Kerwin;Claude Piéplu;Michel Galabru
2377;Jean-Pierre Mocky;Bonsoir;0.0;Comedy;19/01/1994;Michel Serrault;Marie-Christine Barrault;Claude Jade;Corinne Le Poulain;Jean-Claude Dreyfus
2378;Marcel Cravenne;L'île aux trente cercueils;1.5;Adventure|Drama|Thriller;21/09/1979;Claude Jade;Jean-Paul Zehnacker;Yves Beneyton;Georges Marchal;Pascal Sellier
2379;Anne Walter;Le témoin;0.0;Drama;1/01/1969;Claude Jade;Gérard Barray;Jean-Claude Dauphin;Jeanne Pérez;Claude Vernier
2380;Benoît Lamy;Home Sweet Home;5.0;Comedy|Drama;1/01/1973;Claude Jade;Jacques Perrin;Ann Petersen;Marcel Josz;Jacques Lippe
2381;Sergei Yutkevich;Lenin v Parizhe;1.5;Drama|History;22/04/1982;Yuri Kayurov;Claude Jade;Vladimir Antonik;Valentina Svetlova;none
2382;Serge Korber;Les Feux de la Chandeleur;5.2;Drama;24/05/1972;Annie Girardot;Jean Rochefort;Claude Jade;Bernard Le Coq;Bernard Fresson
2383;Jean-Jacques Annaud;L'Ours;6.7;Adventure|Drama|Family;21/10/1988;none;none;Tchéky Karyo;Jack Wallace;André Lacombe
2385;Jean-Pierre Mocky;Agent Trouble;0.0;Thriller;19/08/1987;Catherine Deneuve;Richard Bohringer;Tom Novembre;Dominique Lavanant;Kristin Scott Thomas
2386;Michel Subiela;Le collectionneur des cerveaux;0.0;TV Movie|Horror|Science Fiction;23/10/1976;Claude Jade;François Dunoyer;André Reybaz;Thierry Murzeau;Gisèle Casadesus
2387;Charles Nemes;Tableau d'honneur;0.0;Comedy;26/08/1992;Guillaume de Tonquédec;Claude Jade;Philippe Khorsand;Guillaume Gallienne;François Berléand
2388;Julien Donada;À San Remo;0.0;Drama;15/04/2004;Daniel Duval;Silvana Gasparini;Claude Jade;Jérémy Lemaire;Jean-Jacques Benhamou
2389;André Hunebelle;Sous le signe de Monte Cristo;7.0;Adventure|History;11/12/1968;Paul Barge;Claude Jade;Anny Duperey;Pierre Brasseur;Paul Le Person
2390;René Féret;L'Homme qui n'était pas là;0.0;Thriller;6/05/1987;René Féret;Claude Jade;Sabine Haudepin;Georges Descrières;Valérie Stroh
2391;Pierre Schoendoerffer;L'honneur d'un capitaine;0.0;Drama|History;1/01/1982;Nicole Garcia;Jacques Perrin;Claude Jade;Charles Denner;Georges Wilson
2392;Germán Lorente;La ragazza di via Condotti;0.0;Crime;11/08/1973;Frederick Stafford;Femi Benussi;Claude Jade;Alberto de Mendoza;Michel Constantin
2393;Gérard Brach;Le bateau sur l'herbe;0.0;Comedy|Drama;16/04/1971;Jean-Pierre Cassel;Claude Jade;John McEnery;Valentina Cortese;Paul Préboist
